omitted_history,contrast,treatment,reference,n_histories,full_sample_mean_difference,mean_difference,difference_sd,min_difference,max_difference,t_95_low,t_95_high,simultaneous_confidence,simultaneous_low,simultaneous_high,exact_sign_flip_p,holm_adjusted_p,same_direction_as_full_estimate,simultaneous_interval_excludes_zero,holm_significant_0_05
p10,D2-D0,D2,D0,14,-0.09999999999999999,-0.08333333333333333,0.10336227882434039,-0.25,0.08333333333333337,-0.14301293634081302,-0.023653730325853647,0.9833333333333333,-0.1591891519185383,-0.0074775147481283555,0.01904296875,0.05712890625,True,True,False
p10,D3-D0,D3,D0,14,-0.15000000000000002,-0.14285714285714288,0.21290765681316004,-0.5,0.16666666666666663,-0.2657863640429085,-0.019927921671377247,0.9833333333333333,-0.2991064513506876,0.01339216563640186,0.0361328125,0.072265625,True,False,False
p11,D1-D0,D1,D0,14,0.01666666666666666,-7.93016446160826e-18,0.22645540682891915,-0.5,0.41666666666666663,-0.13075145916059908,0.13075145916059908,0.9833333333333333,-0.1661917718285455,0.1661917718285455,1.0,1.0,False,False,False
p11,D2-D0,D2,D0,14,-0.09999999999999999,-0.10119047619047618,0.12307740002960087,-0.33333333333333326,0.08333333333333337,-0.17225325128120542,-0.03012770109974694,0.9833333333333333,-0.19151488694046026,-0.010866065440492095,0.01513671875,0.0302734375,True,True,True
p11,D3-D0,D3,D0,14,-0.15000000000000002,-0.17261904761904764,0.19465146837153358,-0.5,0.16666666666666663,-0.2850074594203994,-0.06023063581769586,0.9833333333333333,-0.3154704498915153,-0.029767645346579996,0.0087890625,0.0263671875,True,True,True
p12,D1-D0,D1,D0,14,0.01666666666666666,0.01785714285714285,0.23610662209336059,-0.5,0.41666666666666663,-0.11846676209386345,0.15418104780814915,0.9833333333333333,-0.15541749171933414,0.19113177743361984,0.8544921875,0.8544921875,True,False,False
p12,D2-D0,D2,D0,14,-0.09999999999999999,-0.1130952380952381,0.11135885079684348,-0.33333333333333326,0.08333333333333337,-0.17739192429948783,-0.04879855189098836,0.9833333333333333,-0.1948196048563264,-0.031370871334149786,0.00390625,0.01171875,True,True,True
p12,D3-D0,D3,D0,14,-0.15000000000000002,-0.16071428571428573,0.21047434653527386,-0.5,0.16666666666666663,-0.2822385553739239,-0.039190016054647545,0.9833333333333333,-0.3151778291772961,-0.006250742251275365,0.02001953125,0.0400390625,True,True,True
p13,D1-D0,D1,D0,14,0.01666666666666666,0.011904761904761894,0.2353782708810021,-0.5,0.41666666666666663,-0.12399860557650227,0.14780812938602605,0.9833333333333333,-0.16083534810376443,0.1846448719132882,0.9267578125,0.9267578125,True,False,False
p13,D2-D0,D2,D0,14,-0.09999999999999999,-0.1130952380952381,0.11135885079684348,-0.33333333333333326,0.08333333333333337,-0.17739192429948783,-0.04879855189098836,0.9833333333333333,-0.1948196048563264,-0.031370871334149786,0.00390625,0.01171875,True,True,True
p13,D3-D0,D3,D0,14,-0.15000000000000002,-0.14880952380952384,0.21478117324605614,-0.5,0.16666666666666663,-0.2728204811781115,-0.024798566440936184,0.9833333333333333,-0.30643377415097117,0.008814726531923528,0.03125,0.0625,True,False,False
p14,D1-D0,D1,D0,14,0.01666666666666666,0.011904761904761894,0.2353782708810021,-0.5,0.41666666666666663,-0.12399860557650227,0.14780812938602605,0.9833333333333333,-0.16083534810376443,0.1846448719132882,0.9267578125,0.9267578125,True,False,False
p14,D2-D0,D2,D0,14,-0.09999999999999999,-0.10119047619047618,0.12307740002960087,-0.33333333333333326,0.08333333333333337,-0.17225325128120542,-0.03012770109974694,0.9833333333333333,-0.19151488694046026,-0.010866065440492095,0.01513671875,0.04541015625,True,True,True
p14,D3-D0,D3,D0,14,-0.15000000000000002,-0.15476190476190477,0.21398024625545645,-0.5,0.16666666666666663,-0.27831042065396305,-0.031213388869846453,0.9833333333333333,-0.3117983684060196,0.002274558882210065,0.02587890625,0.0517578125,True,False,False
p15,D1-D0,D1,D0,14,0.01666666666666666,0.011904761904761902,0.2353782708810021,-0.5,0.41666666666666663,-0.12399860557650226,0.14780812938602605,0.9833333333333333,-0.16083534810376443,0.1846448719132882,0.9267578125,0.9267578125,True,False,False
p15,D2-D0,D2,D0,14,-0.09999999999999999,-0.10714285714285714,0.1197779793900546,-0.33333333333333326,0.08333333333333337,-0.176300603472974,-0.03798511081274028,0.9833333333333333,-0.19504587919750255,-0.019239835088211726,0.009521484375,0.028564453125,True,True,True
p15,D3-D0,D3,D0,14,-0.15000000000000002,-0.15476190476190477,0.21398024625545645,-0.5,0.16666666666666663,-0.27831042065396305,-0.031213388869846453,0.9833333333333333,-0.3117983684060196,0.002274558882210065,0.02587890625,0.0517578125,True,False,False
